name,album,album_id,artist,artist_id,id,popularity,duration_ms,speechiness,valence,mode,liveness,key,danceability,loudness,acousticness,instrumentalness,energy,tempo
Shake Sum,Yo Contra Mí,3VbJotHW3b1iT6spIHSsWm,Adan Cruz,645xd9cHiiLqqehoLzLMDR,5iBGkv9s16CTWoFae4NMMk,44.0,189295.0,0.107,0.61,1.0,0.0926,8.0,0.776,-4.51,0.382,0.0,0.834,94.012
La Típica (2.018),En Letras Mayúsculas (Reedición 2018),1n2cyFuubJtLlIyQWjtNEi,Alcolirykoz,3ygJTpJJIK7eEeC2EFRl9D,2sM2CvBHegavYx0LUCWZrx,49.0,171560.0,0.258,0.851,1.0,0.273,1.0,0.882,-5.754,0.374,0.0,0.896,90.956
One Take Show XI (The Way I Flow),One Take Show XI (The Way I Flow),30YOVVG21QRYxMtnu3zqMu,Rap Bang Club,0cRHRB8jrBv74aDfyXQPrd,5yT1nlN72ljC4FPx6HK5bU,1.0,184135.0,0.677,0.659,1.0,0.065,9.0,0.701,-11.059,0.0846,0.0,0.475,80.945
Westside,Westside,6eX6RkcnWgINbvHLxkQesO,Young Joshua,5zS5vwSbu6RgEsXctO8USx,6e3r7O0O4IAHkXAgTjbYEo,38.0,171392.0,0.0823,0.51,1.0,0.122,9.0,0.784,-5.863,0.3,5.99e-06,0.534,80.028
Siempre en el Top,Siempre en el Top,7qh1PlTSFCNdoWStOejbNa,Lenwa Dura,6mV5lAVMELv6TOmkSzxjfG,29mZZeTYhU0iqYLI9DMxxR,42.0,234361.0,0.411,0.909,0.0,0.0816,10.0,0.747,-4.195,0.326,0.0,0.815,89.861
Sálvate Tú,Sálvate Tú,473Vxp51f61RMn3pYg69jH,LosPetitFellas,0KuSKX95imv2ymBDqrixLv,0vpMKF5eDyxoMki3SvaV1W,52.0,209318.0,0.294,0.86,0.0,0.314,7.0,0.613,-5.79,0.0181,1.58e-05,0.793,80.2
En Mi Salsa,En Mi Salsa,3Lpvzk1mARQCf7GruD9bhi,Dostrescinco,5HgYp4LTsgdeeclzVlrtfO,2aTnzkobbyDDyCHWOH1rKh,40.0,207611.0,0.2,0.883,0.0,0.377,9.0,0.869,-4.69,0.099,0.0,0.829,104.03
Mi Son,Mi Son,0jujrQzZWM7VYYijVdHyaH,Ruzto,5Ti7e3WlCPPlcsZfxqtzTo,4E90YZkChPVaCiD9Kemsyy,37.0,224498.0,0.419,0.546,1.0,0.367,2.0,0.543,-11.189,0.572,0.0,0.603,88.665
Pantone,Pantone,4KIYSo2O5ZqH03VeHXsWNX,No Rules Clan,6i28S1MHCSNJtufoq0DnPv,0DW6Q5KTqkf1Lh2ROqmKWu,39.0,157997.0,0.301,0.897,1.0,0.229,6.0,0.875,-9.315,0.378,3.56e-06,0.527,96.974
Slow,Slow,0wNKcPMSdGEJN02FGsc6cp,JoelAlva13,39aEgTNXeWxi22wgvc2z6T,4PtgyZ7rVufJFCA3bcxWL3,35.0,196875.0,0.379,0.612,0.0,0.279,7.0,0.671,-7.375,0.378,0.000742,0.489,80.354
Skol,Skol,530cxnrAroGS3yAipJAHhg,Mëlmak 69,4vvDpSyIco1oUkGqhJxWX8,6QARdGsjRtGNs1Po8On1cc,41.0,214285.0,0.212,0.451,0.0,0.338,8.0,0.837,-5.43,0.208,0.0,0.843,133.042
Piola - Versión de Radio,Piola (Versión de Radio),6iYUTkU9ZDxmaJhq6icGaK,Santi Mostaffa,3oVa1dCIWhoJ4cTFgrEgWG,2yOdjJu8OWFkCFgvWVCGal,22.0,187826.0,0.0622,0.703,0.0,0.116,11.0,0.734,-3.609,0.00989,0.000183,0.939,93.51
Busca Escuela (One Take Show XII),Busca Escuela (One Take Show XII),1MK2aiy4W1DgjZT6dYWAm8,Rap Bang Club,0cRHRB8jrBv74aDfyXQPrd,6LT6oMAViR1MpTwIAedpYP,36.0,168000.0,0.463,0.597,1.0,0.0574,1.0,0.879,-11.123,0.0451,0.0,0.524,138.034
Muchachita Consentida,Cicatrices,1p4Y2PEsXTnTxWrYjihemm,Rayito Colombiano,3yJUTkFm88TiJPLhLHKumn,1zVDbrBG7zCd6AXGLmbGj4,68.0,211813.0,0.0637,0.937,1.0,0.0929,5.0,0.768,-6.044,0.312,3.4e-05,0.607,84.714
Tiene Espinas El Rosal,"Grupo Cañaveral, Vol. III",4lxhwVX8BPSeITPGBOzIJw,Grupo Cañaveral De Humberto Pabón,48zixAu4wMDZwpVbOenDU7,1PZ3QsCFec05Ls3PwOqKXZ,68.0,237960.0,0.136,0.822,0.0,0.0925,11.0,0.68,-11.112,0.0343,0.0,0.423,169.184
Los Caminos De La Vida,Los Caminos De La Vida,2I72wA4qxK4ur3biscv0hv,La Tropa Vallenata,6ESzKdcEDKvhUek4ZaHruk,1layZXCAmJ84fi21OmnTt5,66.0,291133.0,0.0313,0.935,0.0,0.126,2.0,0.623,-6.144,0.377,0.0,0.696,151.389
Más Que Tu Amigo,Tu Amor O Tu Desprecio,6335RBM5tYZal0oSZm6jvW,Marco Antonio Solís,3tJnB0s6c3oXPq1SCCavnd,1Vy7WUJubV9JEoebuJ9dfe,68.0,209506.0,0.0449,0.792,0.0,0.0647,0.0,0.774,-7.509,0.248,0.0281,0.616,97.501
El Listón De Tu Pelo,Grandes Éxitos Remezclados Y Remasterizados,5I7CydpUxGqOSgFzSlxOew,Los Angeles Azules,0ZCO8oVkMj897cKgFH7fRW,4gPBK5eYojAxc2SldHkvTo,65.0,214933.0,0.0769,0.844,0.0,0.222,11.0,0.681,-6.28,0.22,0.0,0.481,80.818
Un Sueño,Mi Colección,28iH8QQN9CbafK21M0BebE,Los Angeles De Charly,0fdpJLsenUo15X3dPPWJSR,3fbALzbCtA459yOAJ2FChx,2.0,225906.0,0.0266,0.764,0.0,0.0679,9.0,0.635,-4.371,0.232,0.0,0.675,149.372
Pero La Recuerdo,Los Gigantes De La Cumbia,7I0Iv1T3SASqGDnMfWjL6N,Pancho Barraza,5dmU7FrmtbQaSzIvGsE4Jp,3w2V1gsSTAkh6dgFIPcBKe,2.0,242493.0,0.0581,0.888,0.0,0.0924,7.0,0.673,-3.097,0.203,0.0,0.705,179.986
